Month,Annual Electricity (kWh),Annual Natural Gas (Therms),Model,,,,,,,
1,15602.55973,217.3975541,Baseline,,,,,,,
2,15089.36743,128.2674175,Baseline,,,,,,,
3,17326.16251,119.9489364,Baseline,,,,,,,
4,17792.31492,93.93328268,Baseline,,,,,,,
5,17104.7634,73.41531901,Baseline,,,,,,,
6,18428.24885,47.05629596,Baseline,,,,,,,
7,19347.88263,40.2605358,Baseline,,,,,,,
8,18567.0062,42.47196849,Baseline,,,,,,,
9,18542.34646,38.90316669,Baseline,,,,,,,
10,18258.56454,55.29701365,Baseline,,,,,,,
11,15646.72808,124.4019053,Baseline,,,,,,,
12,16700.76516,216.2035702,Baseline,,,,,,E,NG
1,12822.40238,413.5845851,Calibrating,,136.3423786,19.37909068,,NMBE,0.799537069,-5.39108841
2,12168.91258,255.0875227,Calibrating,,79.46258196,-0.752688546,,CVRMSE,0.857598724,9.274679246
3,13874.07975,239.4187398,Calibrating,,61.63974813,-12.56926931,,,,
4,14297.15559,177.7137525,Calibrating,,151.0255916,-14.84174438,,,,
5,13817.30704,137.0571195,Calibrating,,67.93704098,-24.69680156,,,,
6,15025.81235,86.22429384,Calibrating,,23.22235271,-22.57012502,,,,
7,15878.35907,73.23356843,Calibrating,,50.82906799,-21.58070499,,,,
8,15291.19506,77.20670565,Calibrating,,197.3150612,-22.46181338,,,,
9,15245.89826,72.44830929,Calibrating,,121.6982576,-16.31479526,,,,
10,14905.92836,105.7029632,Calibrating,,66.74836244,-15.92109405,,,,
11,12830.02781,241.8257703,Calibrating,,99.63781049,-5.682735653,,,,
12,13663.52657,399.6013325,Calibrating,,179.7165698,19.52786006,,,,
1,12686.06,394.2054944,Target,,,,,,,
2,12089.45,255.8402112,Target,,,,,,,
3,13812.44,251.9880092,Target,,,,,,,
4,14146.13,192.5554969,Target,,,,,,,
5,13749.37,161.7539211,Target,,,,,,,
6,15002.59,108.7944189,Target,,,,,,,
7,15827.53,94.81427341,Target,,,,,,,
8,15093.88,99.66851902,Target,,,,,,,
9,15124.2,88.76310455,Target,,,,,,,
10,14839.18,121.6240573,Target,,,,,,,
11,12730.39,247.508506,Target,,,,,,,
12,13483.81,380.0734724,Target,,,,,,,
